Title,Price,ISBN-10,Author,Format,Pages,Publisher,Language,Weight,Dimensions,Case pack,Availability
My Favorite Bride (Governess Brides #7),7.99,60092645,Christina Dodd,Paperback,384,"HarperCollins (September 3, 2002)",English,6.48oz,"4.19"" x 6.75"" x 0.96""",48,InStock
One Kiss From You (Switching Places #2),8.99,60092661,Christina Dodd,Paperback,384,"HarperCollins (October 28, 2003)",English,16oz,"4.19"" x 6.75"" x 0.96""",48,InStock
If You'll Be My Valentine,7.99,60092718,"Cynthia Rylant, Fumi Kosaka",Paperback,32,"HarperCollins (December 13, 2005)",English,16oz,"10"" x 10""",90,InStock
Criss Cross,16.99,60092726,Lynne Rae Perkins,Hardcover,352,"HarperCollins (August 30, 2005)",English,17.12oz,"5.5"" x 8.25"" x 1.13""",20,InStock
Nuts to You,16.99,60092750,"Lynne Rae Perkins, Lynne Rae Perkins",Hardcover,272,"HarperCollins (August 26, 2014)",English,16oz,"6"" x 7.75"" x 1""",36,InStock
Autumnblings,16.99,60092785,"Douglas Florian, Douglas Florian",Hardcover,48,"HarperCollins (August 5, 2003)",English,10.88oz,"7"" x 9""",40,InStock
I Love School!,7.99,60092866,"Philemon Sturges, Shari Halpern",Paperback,32,"HarperCollins (July 3, 2006)",English,5.09oz,"10"" x 8.75"" x 0.12""",100,InStock
I'm Mighty!,17.99,60092904,"Kate McMullan, Jim McMullan",Hardcover,40,"HarperCollins (September 23, 2003)",English,14.66oz,"11"" x 9"" x 0.34""",36,InStock
I'm Dirty!,17.99,60092939,"Kate McMullan, Jim McMullan",Hardcover,40,"HarperCollins (August 15, 2006)",English,16oz,"11"" x 9"" x 0.34""",36,InStock
The Seduction of an English Lady,8.99,60092971,Cathy Maxwell,Paperback,384,"HarperCollins (December 30, 2003)",English,16oz,"4.19"" x 6.75"" x 0.96""",48,InStock
Vampire Kisses,17.99,006009334X,Ellen Schreiber,Hardcover,208,"HarperCollins (August 5, 2003)",English,10.4oz,"5.5"" x 8.25"" x 0.77""",40,InStock
Murder in Paradise (A Christmas in Hawaii Turns to Tragedy),8.99,60093463,"Chris Loos, Rick Castberg",Paperback,392,"HarperCollins (July 29, 2003)",English,6.48oz,"4.19"" x 6.75"" x 0.99""",44,InStock
#Do Not Disturb,7.99,006009348X,Christie Ridgway,Paperback,384,"HarperCollins (December 30, 2003)",English,6.56oz,"4.19"" x 6.75"" x 0.96""",48,InStock
The Conquest,15.99,60093609,Yxta Maya Murray,Paperback,320,"HarperCollins (December 2, 2003)",English,9.36oz,"5.31"" x 8"" x 0.73""",52,InStock
"The Emperor of Wine (The Rise of Robert M. Parker, Jr., and the Reign of American Taste)",16.99,60093692,Elin McCoy,Paperback,384,"HarperCollins (July 25, 2006)",English,16oz,"5.31"" x 8"" x 0.87""",48,InStock
The Art of the Novel,14.99,60093749,Milan Kundera,Paperback,176,"HarperCollins (April 1, 2003)",English,16oz,"5.31"" x 8"" x 0.4""",104,InStock
The Golden One,26.95,60093862,Elizabeth Peters,Paperback,688,"HarperCollins (April 2, 2002)",English,34.88oz,"6.12"" x 9.25"" x 1.27""",12,InStock
Thanksgiving Night (A Novel),15.99,60094443,Richard Bausch,Paperback,416,"HarperCollins (October 30, 2007)",English,12.8oz,"5.31"" x 8"" x 0.95""",44,InStock
Biscuit Loves School Giant Lift-the-Flap,9.99,60094540,"Alyssa Satin Capucilli, Pat Schories",Paperback,12,"HarperCollins (July 1, 2003)",English,11.04oz,"10"" x 10""",50,InStock
Biscuit Wins a Prize,16.99,60094559,"Alyssa Satin Capucilli, Pat Schories",Hardcover,32,"HarperCollins (December 23, 2003)",English,8oz,"6"" x 9"" x 0.38""",52,InStock
I'll Find a Way or Make One (A Tribute to Historically Black Colleges and Universities),20.95,60094567,"Dwayne Ashley, Juan Williams, Adrienne Ingrum",Paperback,480,"HarperCollins (August 21, 2007)",English,28.8oz,"7.38"" x 9.25"" x 1.2""",14,InStock
Biscuit and the Baby,16.99,60094591,"Alyssa Satin Capucilli, Pat Schories",Hardcover,32,"HarperCollins (January 18, 2005)",English,7.04oz,"6"" x 9"" x 0.33""",52,InStock
Biscuit Loves Mother's Day,6.99,60094621,"Alyssa Satin Capucilli, Pat Schories, Mary O'Keefe Young",Paperback,20,"HarperCollins (March 16, 2004)",English,5.44oz,"8.75"" x 8.25""",80,InStock
Biscuit Loves Father's Day,6.99,006009463X,"Alyssa Satin Capucilli, Pat Schories, Mary O'Keefe Young",Paperback,20,"HarperCollins (April 13, 2004)",English,5.36oz,"8.75"" x 8.25""",100,InStock
Biscuit Visits the Pumpkin Patch,4.99,60094664,"Alyssa Satin Capucilli, Pat Schories",Board Book,16,"HarperCollins (July 27, 2004)",English,6.46oz,"7"" x 7""",68,InStock
Biscuit Gives a Gift,4.99,60094672,"Alyssa Satin Capucilli, Pat Schories",Board Book,16,"HarperCollins (September 21, 2004)",English,6.4oz,"7"" x 7""",80,InStock
Biscuit's Snowy Day,4.99,60094680,"Alyssa Satin Capucilli, Pat Schories, Mary O'Keefe Young",Board Book,16,"HarperCollins (September 27, 2005)",English,6.5oz,"7"" x 7""",80,InStock
Biscuit's Hanukkah,4.99,60094699,"Alyssa Satin Capucilli, Pat Schories, Mary O'Keefe Young",Board Book,16,"HarperCollins (October 11, 2005)",English,6.72oz,"7"" x 7""",80,InStock
Biscuit's Pet & Play Christmas (A Touch & Feel Book),7.99,60094702,"Alyssa Satin Capucilli, Pat Schories, Mary O'Keefe Young",Board Book,12,"HarperCollins (September 26, 2006)",English,6.4oz,"7"" x 7""",20,InStock
Staying Fat for Sarah Byrnes,9.99,60094893,Chris Crutcher,Paperback,304,"HarperCollins (March 18, 2003)",English,6.16oz,"5"" x 7.125"" x 0.608""",60,InStock
The Crazy Horse Electric Game,10.99,60094907,Chris Crutcher,Paperback,304,"HarperCollins (April 1, 2003)",English,16oz,"5"" x 7.12"" x 0.68""",60,InStock
Running Loose,9.99,60094915,Chris Crutcher,Paperback,224,"HarperCollins (April 1, 2003)",English,4.88oz,"5"" x 7.12"" x 0.45""",84,InStock
"The Bromeliad Trilogy (Truckers, Diggers, and Wings)",19.99,60094931,Terry Pratchett,Hardcover,512,"HarperCollins (September 30, 2003)",English,23.68oz,"6"" x 9"" x 1.53""",20,InStock
Fire Lover,8.99,60095288,Joseph Wambaugh,Paperback,416,"HarperCollins (May 27, 2003)",English,16oz,"4.19"" x 6.75"" x 1.04""",48,InStock
A Series of Unfortunate Events Box: The Situation Worsens (Books 4-6),41.99,60095563,"Lemony Snicket, Brett Helquist",Hardcover,,"HarperCollins (October 1, 2002)",English,32.32oz,,12,InStock
Islam (A Concise Introduction),9.99,60095571,Huston Smith,Paperback,112,"HarperCollins (December 4, 2001)",English,3.68oz,"5.31"" x 8"" x 0.25""",108,InStock
"Panini, Bruschetta, Crostini (Sandwiches, Italian Style)",18.95,60095725,Viana La Place,Paperback,144,"HarperCollins (July 30, 2002)",English,16.64oz,"8.12"" x 9.12"" x 0.31""",30,InStock
Fairy Realm #1: The Charm Bracelet,4.99,60095857,"Emily Rodda, Raoul Vitale",Paperback,128,"HarperCollins (May 26, 2009)",English,3.12oz,"5.12"" x 7.62"" x 0.26""",132,InStock
Fairy Realm #2: The Flower Fairies,4.99,60095881,"Emily Rodda, Raoul Vitale",Paperback,128,"HarperCollins (May 26, 2009)",English,3.12oz,"5.12"" x 7.62"" x 0.26""",132,InStock
The Lighthouse Cat,16.99,60096047,"Sue Stainton, Anne Mortimer",Hardcover,32,"HarperCollins (July 20, 2004)",English,12.13oz,"7.5"" x 11""",40,InStock
Teen Idol,9.99,60096187,Meg Cabot,Paperback,320,"HarperCollins (July 26, 2005)",English,9.73oz,"5.31"" x 8"" x 0.72""",44,InStock
A Little Help from Above,14.99,60096209,Saralee Rosenberg,Paperback,352,"HarperCollins (December 31, 2002)",English,13.28oz,"5.31"" x 8"" x 0.79""",26,InStock
Pipe Dreams (A Surfer's Journey),16.99,60096314,Kelly Slater,Paperback,352,"HarperCollins (July 27, 2004)",English,17.6oz,"6"" x 9"" x 0.92""",24,InStock
More Than Money (True Stories of People Who Learned Life's Ultimate Lesson),16.99,60096446,Neil Cavuto,Paperback,320,"HarperCollins (May 3, 2005)",English,15.36oz,"6"" x 9"" x 0.8""",28,InStock
The Worm in the Apple (How the Teacher Unions Are Destroying American Education),14.99,60096624,Peter Brimelow,Paperback,320,"HarperCollins (January 20, 2004)",English,12.48oz,"5.31"" x 8"" x 0.72""",28,InStock
The Freedom Line (The Brave Men and Women Who Rescued Allied Airmen from the Nazis During World War II),13.99,60096640,Peter Eisner,Paperback,352,"HarperCollins (May 31, 2005)",English,10.88oz,"5.31"" x 8"" x 0.88""",52,InStock
Where the Birds Never Sing (The True Story of the 92nd Signal Battalion and the Liberation of Dachau),17.99,60096667,Jack Sacco,Paperback,336,"HarperCollins (November 2, 2004)",English,12.8oz,"6"" x 9"" x 0.84""",36,InStock
Behaving Like Adults (A Novel),13.99,60096683,Anna Maxted,Paperback,400,"HarperCollins (August 3, 2004)",English,12.24oz,"5.5"" x 8.25"" x 1""",20,InStock
Being Committed (A Novel),13.95,60096705,Anna Maxted,Paperback,384,"HarperCollins (July 26, 2005)",English,15.6oz,"5.5"" x 8.25"" x 0.96""",28,InStock
The Ultimate Muffin Book (More Than 600 Recipes for Sweet and Savory Muffins),16.99,60096764,"Bruce Weinstein, Mark Scarbrough",Paperback,280,"HarperCollins (August 3, 2004)",English,17.44oz,"7.5"" x 9.25"" x 0.68""",24,InStock
The Cornbread Book (A Love Story with Recipes),14.99,60096799,Jeremy Jackson,Hardcover,144,"HarperCollins (March 25, 2003)",English,10.56oz,"5.38"" x 8.25"" x 0.65""",52,InStock
"Price It Yourself! (The definitive, down-to-earth guide to appraising antiques and collectibles in your home, at auctions, estate sales, shops, and yard sales)",21.95,60096845,"Joe L. Rosson, Helaine Fendelman",Paperback,384,"HarperCollins (March 18, 2003)",English,24.32oz,"7.38"" x 9.25"" x 0.96""",11,InStock
American Taboo (A Murder in the Peace Corps),15.99,006009687X,Philip Weiss,Paperback,416,"HarperCollins (June 28, 2005)",English,13.44oz,"5.31"" x 8"" x 0.95""",44,InStock
Tony Hawk (Professional Skateboarder),11.99,60096896,"Tony Hawk, Sean Mortimer",Paperback,176,"HarperCollins (September 17, 2002)",English,6.08oz,"5.12"" x 7.56"" x 0.39""",48,InStock
When Everybody Wore a Hat,8.99,60097027,"William Steig, William Steig",Paperback,40,"HarperCollins (April 26, 2005)",English,5.12oz,"8"" x 9""",110,InStock
19 Varieties of Gazelle (Poems of the Middle East),17.99,60097655,Naomi Shihab Nye,Hardcover,160,"HarperCollins (April 16, 2002)",English,7.44oz,"5"" x 7.12"" x 0.65""",48,InStock
Only the Strong Survive (The Odyssey of Allen Iverson),14.99,60097744,Larry Platt,Paperback,272,"HarperCollins (October 21, 2003)",English,14.08oz,"6"" x 9"" x 0.68""",36,InStock
Zoya's Story (An Afghan Woman's Struggle for Freedom),13.99,60097833,"John Follain, Rita Cristofari",Paperback,256,"HarperCollins (April 15, 2003)",English,7.2oz,"5.31"" x 8"" x 0.58""",68,InStock
Doubt: A History (The Great Doubters and Their Legacy of Innovation from Socrates and Jesus to Thomas Jefferson and Emily Dickinson),17.99,60097957,Jennifer Hecht,Paperback,576,"HarperCollins (September 7, 2004)",English,21.12oz,"6"" x 9"" x 1.44""",16,InStock
The Sweetest Sin,5.99,60098120,Mary Reed McCall,Paperback,384,"HarperCollins (May 25, 2004)",English,6.08oz,"4.19"" x 6.75"" x 0.96""",48,InStock
"Bell, Book, and Scandal",8.99,60099003,Jill Churchill,Paperback,256,"HarperCollins (October 26, 2004)",English,16oz,"4.19"" x 6.75"" x 0.64""",48,InStock
Blood Relation,14.99,60099054,Eric Konigsberg,Paperback,288,"HarperCollins (October 3, 2006)",English,12.8oz,"5.31"" x 8"" x 0.65""",30,InStock
Among the Heroes (United Flight 93 and the Passengers and Crew Who Fought Back),15.99,60099097,Jere Longman,Paperback,336,"HarperCollins (August 5, 2003)",English,8.96oz,"5.31"" x 8"" x 0.76""",56,InStock
Safe in Heaven Dead (A Novel),14.99,60099119,Samuel Ligon,Paperback,256,"HarperCollins (March 30, 2004)",English,9.92oz,"5.31"" x 8"" x 0.58""",34,InStock
Blue Hour (Poems),13.99,60099135,Carolyn Forche,Paperback,96,"HarperCollins (March 16, 2004)",English,5.12oz,"6"" x 9"" x 0.21""",96,InStock
"Complete Book of Mixed Drinks, The (Revised Edition) (More Than 1,000 Alcoholic and Nonalcoholic Cocktails)",19.99,60099143,Anthony Dias Blue,Paperback,384,"HarperCollins (October 22, 2002)",English,17.36oz,"5.5"" x 9.25"" x 0.96""",28,InStock
Big Max and the Mystery of the Missing Giraffe,4.99,60099208,"Kin Platt, Lynne Cravath",Paperback,64,"HarperCollins (May 30, 2006)",English,4.51oz,"6"" x 9"" x 0.19""",92,InStock
Crossing Brooklyn Ferry (A Novel),14.99,60099437,Jennie Fields,Paperback,384,"HarperCollins (July 23, 2002)",English,10.1oz,"5.31"" x 8"" x 0.86""",48,InStock
"Merry Christmas, Amelia Bedelia",4.99,60099453,"Peggy Parish, Lynn Sweat",Paperback,64,"HarperCollins (October 1, 2002)",English,4.1oz,"6"" x 9"" x 0.19""",92,InStock
"Pride, Prejudice and Jasmin Field (A Novel)",14,60184957,Melissa Nathan,Paperback,288,"HarperCollins (April 24, 2001)",English,7.92oz,"5.31"" x 8"" x 0.65""",40,InStock
New World Kitchen (Latin American and Caribbean Cuisine),34.95,60185058,Norman Van Aken,Hardcover,336,"HarperCollins (April 1, 2003)",English,28.48oz,"7.375"" x 9.125"" x 1.0068""",16,InStock
"Cemetery Stories (Haunted Graveyards, Embalming Secrets, and the Life of a Corpse After Death)",15.99,006018518X,Katherine Ramsland,Paperback,256,"HarperCollins (October 2, 2001)",English,8.16oz,"5.31"" x 8"" x 0.58""",60,InStock
From Emeril's Kitchens (Favorite Recipes from Emeril's Restaurants),30,006018535X,Emeril Lagasse,Hardcover,352,"HarperCollins (October 14, 2003)",English,40.26oz,"7"" x 9.12"" x 1.2""",14,InStock
Don Quixote,29.99,60188707,"Miguel de Cervantes, Edith Grossman",Hardcover,976,"HarperCollins (October 21, 2003)",English,37.44oz,"6.12"" x 9.25"" x 1.81""",10,InStock
Bel Canto (A Novel),25.99,60188731,Ann Patchett,Hardcover,336,"HarperCollins (May 22, 2001)",English,16.48oz,"6.12"" x 9.25"" x 1.09""",28,InStock
"Pleasures of the Vietnamese Table (Recipes and Reminiscences from Vietnam's Best Market Kitchens, Street Cafes, and Home Cooks)",27.5,60192585,Mai Pham,Hardcover,256,"HarperCollins (July 31, 2001)",English,22.24oz,"7.38"" x 9.12"" x 0.89""",20,InStock
Audrey Style,40,60193298,Pamela Clarke Keogh,Hardcover,240,"HarperCollins (April 7, 1999)",English,34.08oz,"7.38"" x 10"" x 0.69""",16,InStock
Body For Life (12 Weeks to Mental and Physical Strength),37.5,60193395,Bill Phillips,Hardcover,224,"HarperCollins (June 10, 1999)",English,21.92oz,"7.38"" x 9.25"" x 0.81""",22,InStock
"Most Brilliant Thoughts of All Time (In Two Lines or Less), The",24.99,60194111,John M. Shanahan,Hardcover,336,"HarperCollins (May 11, 1999)",English,14.24oz,"6.12"" x 7.12"" x 1.09""",24,InStock
Second Helpings from Union Square Cafe (140 New Favorites from New York's Acclaimed Restaurant),35,60196475,"Danny Meyer, Michael Romano, Corp Union Square Cafe",Hardcover,352,"HarperCollins (October 2, 2001)",English,45.44oz,"7.38"" x 9.12""",12,InStock
The Essential Mediterranean (How Regional Cooks Transform Key Ingredients into the World's Favorite Cuisines),29.95,60196513,Nancy Harmon Jenkins,Hardcover,448,"HarperCollins (March 18, 2003)",English,36.16oz,"7.38"" x 9.25"" x 1.49""",10,InStock
Circle of Three (A Novel),25,60197064,Patricia Gaffney,Paperback,608,"HarperCollins (July 3, 2000)",English,29.44oz,"6.12"" x 9.25"" x 1.12""",10,InStock
My Most Favorite Dessert Company Cookbook (Delicious Pareve Baking Recipes),32.5,60197862,Doris Schechter,Hardcover,256,"HarperCollins (September 4, 2001)",English,23.84oz,"7.38"" x 9.12"" x 0.95""",16,InStock
Perfect Cakes,37.5,60198796,Nick Malgieri,Hardcover,352,"HarperCollins (October 15, 2002)",English,46.88oz,"7.94"" x 9.12""",10,InStock
Wild Justice,27,006019913X,Phillip Margolin,Paperback,464,"HarperCollins (September 5, 2000)",English,20.8oz,"6.12"" x 9.25"" x 0.86""",14,InStock
Jackie Style,45,60199520,Pamela Clarke Keogh,Hardcover,256,"HarperCollins (April 24, 2001)",English,32.16oz,"7.38"" x 10"" x 0.75""",16,InStock
Chez Panisse Fruit,34.99,60199571,Alice L. Waters,Hardcover,352,"HarperCollins (April 16, 2002)",English,41.28oz,"7"" x 10"" x 1.23""",8,InStock
Prodigal Summer,26,60199660,Barbara Kingsolver,Paperback,640,"HarperCollins (November 7, 2000)",English,27.2oz,"6.12"" x 9.25"" x 1.18""",10,InStock
My Five Senses Big Book,24.99,60200502,"Aliki, Aliki",Paperback,32,"HarperCollins (March 15, 1991)",English,17.47oz,"18.5"" x 15""",34,InStock
"Dinosaurs, Dinosaurs Big Book",24.99,60204109,"Byron Barton, Byron Barton",Paperback,40,"HarperCollins (March 15, 1991)",English,18.56oz,"17"" x 14.75""",35,InStock
Flat Stanley,17.89,60206810,"Jeff Brown, Tomi Ungerer",Hardcover,48,"HarperCollins (January 1, 1964)",English,11.76oz,"7"" x 9"" x 0.38""",48,InStock
Big Red Barn,17.99,60207485,"Margaret Wise Brown, Felicia Bond",Hardcover,32,"HarperCollins (April 4, 1989)",English,11.84oz,"8.25"" x 9.75"" x 0.33""",40,InStock
Big Red Barn Big Book,24.99,60207507,"Margaret Wise Brown, Felicia Bond",Paperback,32,"HarperCollins (April 4, 1991)",English,16.67oz,"15"" x 17.75""",36,InStock
Be Nice to Spiders,17.89,60220732,"Margaret Bloy Graham, Margaret Bloy Graham",Hardcover,32,"HarperCollins (September 13, 1967)",English,9.38oz,"7.25"" x 9.25"" x 0.34""",40,InStock
Julius,17.89,60224916,"Syd Hoff, Syd Hoff",Hardcover,64,"HarperCollins (January 1, 1959)",English,8.24oz,"5.62"" x 8.5"" x 0.41""",40,InStock
Who Will Be My Friends?,17.89,60225564,"Syd Hoff, Syd Hoff",Hardcover,32,"HarperCollins (January 1, 1960)",English,7.04oz,"5.62"" x 8.5"" x 0.33""",50,InStock
Harold and the Purple Crayon,17.89,60229365,"Crockett Johnson, Crockett Johnson",Hardcover,64,"HarperCollins (January 1, 1958)",English,9.28oz,"6"" x 7.5"" x 0.42""",50,InStock
The Happy Day,17.89,60233966,"Ruth Krauss, Marc Simont",Hardcover,36,"HarperCollins (January 1, 1949)",English,15.44oz,"8.81"" x 11.75""",40,InStock
The Philharmonic Gets Dressed,17.99,60236221,"Karla Kuskin, Marc Simont",Hardcover,48,"HarperCollins (September 21, 1982)",English,11.2oz,"6.69"" x 8.88""",40,InStock
"Morning, Noon, and Night",17.89,60236299,"Jean Craighead George, Wendell Minor",Hardcover,32,"HarperCollins (May 19, 1999)",English,12oz,"1"" x 8"" x 0.3273""",40,InStock
Mouse Tales,16.99,60239417,"Arnold Lobel, Arnold Lobel",Hardcover,64,"HarperCollins (October 18, 1972)",English,9.6oz,"6"" x 9"" x 0.38""",42,InStock
Owl at Home,17.89,60239492,"Arnold Lobel, Arnold Lobel",Hardcover,64,"HarperCollins (October 8, 1975)",English,9.52oz,"6"" x 9"" x 0.38""",40,InStock
Frog and Toad All Year,16.99,60239506,"Arnold Lobel, Arnold Lobel",Hardcover,64,"HarperCollins (August 25, 1976)",English,9.6oz,"6"" x 9"" x 0.41""",42,InStock
Frog and Toad Together,16.99,006023959X,"Arnold Lobel, Arnold Lobel",Hardcover,64,"HarperCollins (April 26, 1972)",English,9.63oz,"6"" x 9"" x 0.38""",42,InStock
Mouse Soup,16.99,60239670,"Arnold Lobel, Arnold Lobel",Hardcover,64,"HarperCollins (April 5, 1997)",English,9.28oz,"6"" x 9"" x 0.38""",42,InStock
Fables,17.99,60239735,"Arnold Lobel, Arnold Lobel",Hardcover,48,"HarperCollins (August 6, 1980)",English,15.76oz,"8"" x 11.5"" x 0.37""",30,InStock
Beauty (A Retelling of the Story of Beauty and the Beast),18.99,60241497,Robin McKinley,Hardcover,256,"HarperCollins (October 25, 1978)",English,16oz,"5.38"" x 8"" x 0.89""",28,InStock
Father Bear Comes Home,16.95,60242302,"Else Holmelund Minarik, Maurice Sendak",Hardcover,64,"HarperCollins (January 1, 1959)",English,8.64oz,"6"" x 9"" x 0.38""",42,InStock
Little Bear's Friend,16.95,60242558,"Else Holmelund Minarik, Maurice Sendak",Hardcover,64,"HarperCollins (January 1, 1960)",English,9.92oz,"6"" x 9"" x 0.38""",42,InStock
Little Bear's Visit,16.95,60242655,"Else Holmelund Minarik, Maurice Sendak",Hardcover,64,"HarperCollins (January 1, 1961)",English,16oz,"6"" x 9"" x 0.38""",42,InStock
A Kiss for Little Bear,16.99,60242981,"Else Holmelund Minarik, Maurice Sendak",Hardcover,32,"HarperCollins (September 25, 1968)",English,8.32oz,"6"" x 9"" x 0.38""",52,InStock
Who Took the Farmer's Hat?,17.89,60245662,"Joan L. Nodset, Fritz Siebel",Hardcover,32,"HarperCollins (January 1, 1963)",English,9.6oz,"9.75"" x 6.5"" x 0.34""",60,InStock
"In a Dark, Dark Room and Other Scary Stories",16.99,60252715,"Alvin Schwartz, Dirk Zimmer",Hardcover,64,"HarperCollins (March 14, 1984)",English,9.36oz,"6"" x 9"" x 0.38""",42,InStock
Outside Over There,22.95,60255234,"Maurice Sendak, Maurice Sendak",Hardcover,40,"HarperCollins (April 22, 1981)",English,16oz,"10"" x 9""",30,InStock
Alligators All Around,16.89,60255307,"Maurice Sendak, Maurice Sendak",Hardcover,32,"HarperCollins (November 28, 1962)",English,16oz,"5"" x 7"" x 0.38""",108,InStock
Chicken Soup with Rice (A Book of Months),16.89,60255358,"Maurice Sendak, Maurice Sendak",Hardcover,32,"HarperCollins (November 28, 1962)",English,16oz,"5"" x 7"" x 0.38""",108,InStock
One Was Johnny (A Counting Book),16.89,60255404,"Maurice Sendak, Maurice Sendak",Hardcover,48,"HarperCollins (November 28, 1962)",English,6.08oz,"5"" x 7"" x 0.42""",92,InStock
Pierre (A Cautionary Tale),16.89,60259655,"Maurice Sendak, Maurice Sendak",Hardcover,48,"HarperCollins (November 28, 1962)",English,6.24oz,"5"" x 7"" x 0.38""",88,InStock
A Tree Is Nice,17.99,60261552,"Janice May Udry, Marc Simont",Hardcover,32,"HarperCollins (March 14, 1956)",English,9.92oz,"6.19"" x 11"" x 0.33""",50,InStock
Crictor,17.99,60261803,"Tomi Ungerer, Tomi Ungerer",Hardcover,400,"HarperCollins (April 16, 1958)",English,12.48oz,"7.81"" x 10.75""",38,InStock
The Rabbits' Wedding,17.99,60264950,"Garth Williams, Garth Williams",Hardcover,32,"HarperCollins (April 30, 1958)",English,16.26oz,"9.25"" x 12.12""",30,InStock
Harry by the Sea,18.89,60268565,"Gene Zion, Margaret Bloy Graham",Hardcover,32,"HarperCollins (January 1, 1965)",English,13.12oz,"8"" x 10.88""",40,InStock
No Roses for Harry!,17.99,60268905,"Gene Zion, Margaret Bloy Graham",Hardcover,32,"HarperCollins (October 6, 1958)",English,12.48oz,"8"" x 10.88""",40,InStock
William's Doll,17.99,60270470,"Charlotte Zolotow, William Pene du Bois",Hardcover,32,"HarperCollins (May 10, 1972)",English,9.6oz,"7"" x 9"" x 0.33""",60,InStock
A Farmer Boy Birthday,17.89,60274778,"Laura Ingalls Wilder, Jody Wheeler",Hardcover,40,"HarperCollins (September 12, 1998)",English,12.16oz,"9"" x 9"" x 0.33""",40,InStock
Laura's Album (A Remembrance Scrapbook of Laura Ingalls Wilder),21.99,60278420,William Anderson,Hardcover,80,"HarperCollins (October 13, 1998)",English,17.76oz,"8"" x 10"" x 0.25""",30,InStock
Bathtime for Biscuit,17.89,60279389,"Alyssa Satin Capucilli, Pat Schories",Hardcover,32,"HarperCollins (August 29, 1998)",English,6.88oz,"6"" x 9"" x 0.33""",50,InStock
I Can Make a Difference (A Treasury to Inspire Our Children),21.99,60280514,"Marian Wright Edelman, Barry Moser",Hardcover,112,"HarperCollins (November 1, 2005)",English,24.88oz,"8.5"" x 11""",20,InStock
The Fairy's Mistake,13.99,60280603,"Gail Carson Levine, Mark Elliott",Hardcover,96,"HarperCollins (April 8, 1999)",English,6.72oz,"4"" x 7"" x 0.52""",78,InStock
The Princess Test,16.99,006028062X,"Gail Carson Levine, Mark Elliott",Hardcover,96,"HarperCollins (March 21, 1999)",English,16oz,"4"" x 7"" x 0.57""",84,InStock
Princess Sonora and the Long Sleep,12.99,60280646,"Gail Carson Levine, Mark Elliott",Hardcover,112,"HarperCollins (September 8, 1999)",English,7.36oz,"4"" x 7"" x 0.62""",84,InStock
"My Daddy, Dr. Martin Luther King, Jr.",17.99,60280751,"Martin Luther King, AG Ford",Hardcover,32,"HarperCollins (August 6, 2013)",English,15.2oz,"8.5"" x 11""",40,InStock
The Baby Beebee Bird,17.99,60280832,"Diane Redfield Massie, Steven Kellogg",Hardcover,32,"HarperCollins (September 5, 2000)",English,16.16oz,"9"" x 12""",28,InStock
Jake and Lily,16.99,60281359,Jerry Spinelli,Hardcover,352,"HarperCollins (May 8, 2012)",English,12.16oz,"5"" x 7.5"" x 1.13""",40,InStock
The Little Fir Tree,15.99,60281898,"Margaret Wise Brown, Jim LaMarche",Hardcover,32,"HarperCollins (September 27, 2005)",English,14.08oz,"8.5"" x 11""",40,InStock
A Child's Garden of Verses,17.99,60282282,"Robert Louis Stevenson, Barbara McClintock",Hardcover,80,"HarperCollins (February 22, 2011)",English,20.24oz,"8.5"" x 11""",28,InStock
A Series of Unfortunate Events #4: The Miserable Mill,15.89,60283157,"Lemony Snicket, Brett Helquist, Michael Kupperman",Hardcover,208,"HarperCollins (April 5, 2000)",English,10oz,"5"" x 7"" x 0.83""",40,InStock
Si le das un panqueque a una cerdita (If You Give a Pig a Pancake (Spanish edition)),16.99,60283165,"Laura Joffe Numeroff, Felicia Bond",Hardcover,32,"HarperCollins (May 5, 1999)",Spanish,11.2oz,"8"" x 9"" x 0.32""",40,InStock
If You Give a Cat a Cupcake,17.99,60283246,"Laura Numeroff, Felicia Bond",Hardcover,32,"HarperCollins (September 30, 2008)",English,10.88oz,"8"" x 9""",40,InStock
If You Give a Pig a Party,17.99,60283262,"Laura Numeroff, Felicia Bond",Hardcover,32,"HarperCollins (September 6, 2005)",English,11.28oz,"8"" x 9""",40,InStock
If You Take a Mouse to School,18.99,60283289,"Laura Numeroff, Felicia Bond",Hardcover,32,"HarperCollins (July 16, 2002)",English,16oz,"8"" x 9"" x 0.32""",40,InStock
Stuart Little Read-Aloud Edition,19.95,60283343,"E. B. White, Garth Williams",Hardcover,144,"HarperCollins (May 15, 1999)",English,25.2oz,"8.5"" x 10.88"" x 0.65""",22,InStock
Cinderellis and the Glass Hill,16.99,006028336X,"Gail Carson Levine, Mark Elliott",Hardcover,112,"HarperCollins (February 2, 2000)",English,3.55oz,"4"" x 7"" x 0.62""",80,InStock
"Happy Birthday, Biscuit!",16.99,60283556,"Alyssa Satin Capucilli, Pat Schories",Hardcover,24,"HarperCollins (April 7, 1999)",English,9.28oz,"8"" x 9""",50,InStock
The Squeaky Door,17.99,60283734,"Margaret Read MacDonald, Mary Newell DePalma",Hardcover,40,"HarperCollins (January 3, 2006)",English,16oz,"10"" x 9""",40,InStock
Two Little Trains,17.99,60283769,"Margaret Wise Brown, Leo and Diane Dillon",Hardcover,32,"HarperCollins (April 24, 2001)",English,13.6oz,"11"" x 8.5"" x 0.34""",40,InStock
